Country/Region,Alias,Population,Chinese
Afghanistan,Afghanistan,37.17m,阿富汗
Albania,Albania,2.846m,阿尔巴尼亚
Algeria,Algeria,42.23m,阿尔及利亚
Andorra,Andorra,77006,安道尔
Angola,Angola,30.81m,安哥拉
Antigua and Barbuda,Antigua and Barbuda,96286,安提瓜和巴布达
Argentina,Argentina,44.49m,阿根廷
Armenia,Armenia,2.965m,亚美尼亚
Australia,Australia,24.99m,澳大利亚
Austria,Austria,8.859m,奥地利
Azerbaijan,Azerbaijan,9.981m,阿塞拜疆
Bahamas,Bahamas,385640,巴哈马
Bahrain,Bahrain,1.569m,巴林
Bangladesh,Bangladesh,161.4m,孟加拉
Barbados,Barbados,286641,巴巴多斯
Belarus,Belarus,9.485m,白罗斯
Belgium,Belgium,11.46m,比利时
Benin,Benin,11.49m,贝宁
Bhutan,Bhutan,754394,不丹
Bolivia,Bolivia,11.35m,玻利维亚
Bosnia and Herzegovina,Bosnia and Herzegovina,3.324m,波黑
Brazil,Brazil,209.5m,巴西
Brunei,Brunei,428962,文莱
Bulgaria,Bulgaria,7m,保加利亚
Burkina Faso,Burkina Faso,19.75m,布基纳法索
Cabo Verde,Cabo Verde,543767,佛得角
Cambodia,Cambodia,16.25m,柬埔寨
Cameroon,Cameroon,25.22m,喀麦隆
Canada,Canada,37.59m,加拿大
Central African Republic,Central African Republic,4.666m,中非
Chad,Chad,15.48m,乍得
Chile,Chile,18.73m,智利
China,China,1.393b,中国
Colombia,Colombia,49.65m,哥伦比亚
Congo (Brazzaville),Congo (Brazzaville),5.244m,刚果(布)
Congo (Kinshasa),Congo (Kinshasa),84.07m,刚果(金)
Costa Rica,Costa Rica,4.999m,哥斯达黎加
Cote d'Ivoire,Cote d'Ivoire,25.07m,科特迪瓦
Croatia,Croatia,4.076m,克罗地亚
Diamond Princess,Diamond Princess Cruise,0,钻石公主号邮轮
Cuba,Cuba,11.34m,古巴
Cyprus,Cyprus,1.17m,塞浦路斯
Czechia,Czechia,10.69m,捷克
Denmark,Denmark,5.806m,丹麦
Djibouti,Djibouti,958920,吉布提
Dominican Republic,Dominican Republic,10.63m,多米尼加
